seller_id,mql_id,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue,first_contact_date,landing_page_id,origin,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,payment_sequential,payment_type,payment_installments,payment_value,mean_lat,mean_long,seller_zip_code_prefix,seller_city,seller_state,major_state,deliverd_difftime,delivered_days,review_score,review_comments
01266d4c46afa519678d16a8b683d325,ae437864746ae2a9e694a6ed2b5824db,4b339f9567d060bcea4f5136b9f5949e,6565aa9ce3178a5caf6171827af3a9ba,2018-05-18 20:02:04,construction_tools_house_garden,online_small,cat,,,,reseller,NA,0,2018-05-07,b76ef37428e6799c421989521c0e5077,unknown,7a8425b03cffa0ddba84d4277b7a4e7e,1896efb077779c378d7cc57a290a303d,87302,campo mourao,PR,6826d5740591909e368433e2a5ec75fb,delivered,2018-08-02 16:07:38,2018-08-02T20:43:51Z,2018-08-03 15:42:00,2018-08-08T01:51:50Z,2018-08-16T04:00:00Z,1,3fc23ad64a8ee1f1451c8c44932c5d22,2018-08-08 16:31:10,9.88,13.47,construcao_ferramentas_ferramentas,40,338,1,450,20,2,11,1,credit_card,2,23.35,-24.043010320742578,-52.386091361288614,80250,curitiba,PR,0,-8,5.213877314814815,5,"Optimal, reached before the deadline, and as requested"
01266d4c46afa519678d16a8b683d325,ae437864746ae2a9e694a6ed2b5824db,4b339f9567d060bcea4f5136b9f5949e,6565aa9ce3178a5caf6171827af3a9ba,2018-05-18 20:02:04,construction_tools_house_garden,online_small,cat,,,,reseller,NA,0,2018-05-07,b76ef37428e6799c421989521c0e5077,unknown,a682769c4bc10fc6ef2101337a6c83c9,8d50f5eadf50201ccdcedfb9e2ac8455,4045,sao paulo,SP,d3582fd5ccccd9cb229a63dfb417c86f,delivered,2018-08-20 19:14:26,2018-08-20T23:30:05Z,2018-08-21 15:11:00,2018-08-24T18:08:43Z,2018-09-04T04:00:00Z,1,df473738565b52f77b4e22b328b41576,2018-08-22 19:30:05,23.4,15.26,construcao_ferramentas_ferramentas,42,369,1,400,16,2,11,1,credit_card,1,38.66,-23.618666201976854,-46.639582867790025,80250,curitiba,PR,0,-10,3.776828703703704,5,
01266d4c46afa519678d16a8b683d325,ae437864746ae2a9e694a6ed2b5824db,4b339f9567d060bcea4f5136b9f5949e,6565aa9ce3178a5caf6171827af3a9ba,2018-05-18 20:02:04,construction_tools_house_garden,online_small,cat,,,,reseller,NA,0,2018-05-07,b76ef37428e6799c421989521c0e5077,unknown,0b0ffa4362977083ee9bf3b3fd8fbaa1,44016db6072d394d603eb8e7741554a2,12380,santa branca,SP,ed76528f7ed5ae1f2a0dd070a7426d44,delivered,2018-08-19 22:53:16,2018-08-21T08:55:37Z,2018-08-21 07:53:00,2018-08-28T20:41:42Z,2018-09-05T04:00:00Z,1,2ad27953852ba0daa0de1213686b7cec,2018-08-23 04:55:37,56.97,18.5,construcao_ferramentas_ferramentas,42,208,1,400,17,2,11,1,boleto,1,75.47,-23.39928048418671,-45.88538560664444,80250,curitiba,PR,0,-7,7.4903356481481485,5,
01fd077212124329bac32490e8ef80d9,180d9ac0990bb42907fe9cc7aa3eb5a1,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,NA,0,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,e5d86418d3139d415a66e98990d88a28,4758bb880479dc35ec48f38bebcdcfc7,30350,belo horizonte,MG,f7f0c94ab5756ff0b74073d9d0187f37,delivered,2018-06-29 18:32:40,2018-06-29T22:50:20Z,2018-07-02 14:08:00,2018-07-05T22:46:44Z,2018-07-23T04:00:00Z,1,c1cf541d5b33a4b04ddc1c3be7aa1c86,2018-07-05 18:50:20,35,18.35,beleza_saude,51,781,2,150,35,2,26,1,credit_card,1,53.35,-19.94807647046226,-43.94761823033127,14079,ribeirao preto / sao paulo,SP,0,-17,5.9975,5,
01fd077212124329bac32490e8ef80d9,180d9ac0990bb42907fe9cc7aa3eb5a1,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,NA,0,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,554e72ada8751c515ab293a7605b530e,d8f3c4f441a9b59a29f977df16724f38,9720,sao bernardo do campo,SP,b2947cf9a8d3084369dfcbe9663dd545,delivered,2018-08-24 17:52:59,2018-08-25T08:05:18Z,2018-08-27 14:54:00,2018-08-30T23:38:28Z,2018-09-06T04:00:00Z,1,c1cf541d5b33a4b04ddc1c3be7aa1c86,2018-08-28 04:05:18,38,12.93,beleza_saude,51,781,2,150,35,2,26,1,boleto,1,50.93,-23.71560389581901,-46.55408471265639,14079,ribeirao preto / sao paulo,SP,0,-6,5.648032407407408,5,
01fd077212124329bac32490e8ef80d9,180d9ac0990bb42907fe9cc7aa3eb5a1,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,NA,0,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,bf654df65423a4716b8ecd654aa356e4,1852429a01e2dd12b065a0a2cacbe1bd,88780,imbituba,SC,b9ce9285aa642df4742b9839964076c6,delivered,2018-07-23 17:18:44,2018-07-24T12:31:37Z,2018-07-24 14:19:00,2018-07-30T23:32:49Z,2018-08-13T04:00:00Z,1,c1cf541d5b33a4b04ddc1c3be7aa1c86,2018-07-27 17:30:19,38,18.37,beleza_saude,51,781,2,150,35,2,26,1,credit_card,1,56.37,-28.231882617674767,-48.67933195388163,14079,ribeirao preto / sao paulo,SP,0,-13,6.459166666666667,5,
01fd077212124329bac32490e8ef80d9,180d9ac0990bb42907fe9cc7aa3eb5a1,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,NA,0,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,0a44fa60c928c1db607ec5758d406560,10c04a9366e94baf4f2fcc2e3e1a62fc,72231,brasilia,DF,1d27a36f2b45a61e1fe2523a056c3561,delivered,2018-07-18 13:48:12,2018-07-18T18:02:23Z,2018-07-19 14:23:00,2018-07-25T20:21:55Z,2018-08-03T04:00:00Z,1,c1cf541d5b33a4b04ddc1c3be7aa1c86,2018-07-24 14:02:23,38,18.37,beleza_saude,51,781,2,150,35,2,26,1,credit_card,1,56.37,-15.841629529540057,-48.11468187730979,14079,ribeirao preto / sao paulo,SP,0,-8,7.096898148148148,5,
01fd077212124329bac32490e8ef80d9,180d9ac0990bb42907fe9cc7aa3eb5a1,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,NA,0,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,324c9f379509b9746f28abfb4b235b72,078bbabc3259184e037b720543d4c90a,21021,rio de janeiro,RJ,9c5921e983142d2f7a3416864c6e64bf,delivered,2018-06-19 10:33:38,2018-06-19T14:55:58Z,2018-06-20 13:38:00,2018-06-26T22:15:29Z,2018-07-26T04:00:00Z,1,da7da0c2d3f2dbb32bee4ad3cf467fc6,2018-06-25 10:55:58,17,18.23,ferramentas_jardim,57,267,2,100,17,7,12,1,credit_card,1,35.23,-22.84207289300327,-43.265065434319375,14079,ribeirao preto / sao paulo,SP,0,-29,7.305219907407407,4,Great product and delivery time.
01fd077212124329bac32490e8ef80d9,180d9ac0990bb42907fe9cc7aa3eb5a1,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,NA,0,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,6629da21929dbb3173791eb977b64d8b,97107c892093c359b94a37cf51e09d27,2359,sao paulo,SP,56703a55199f4784c80fe5e5de71c532,delivered,2018-07-15 00:25:32,2018-07-17T11:31:30Z,2018-07-17 13:07:00,2018-07-18T20:51:29Z,2018-07-30T04:00:00Z,1,c1cf541d5b33a4b04ddc1c3be7aa1c86,2018-07-23 07:31:30,38,10.16,beleza_saude,51,781,2,150,35,2,26,1,boleto,1,72.32,-23.44588174360123,-46.61923035751618,14079,ribeirao preto / sao paulo,SP,0,-11,1.3888773148148148,1,I made an order with two items and only one of them was delivered. I made some complaints and so far no one has contacted me to deliver another product or return the money.
01fd077212124329bac32490e8ef80d9,180d9ac0990bb42907fe9cc7aa3eb5a1,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8,2018-03-28 22:45:45,household_utilities,online_medium,cat,,,,reseller,NA,0,2018-03-28,b76ef37428e6799c421989521c0e5077,unknown,982b5a55e0c254aad4e8a083ed3e2072,7c7417689f160592b89a44a6ff49f44b,1327,sao paulo,SP,26ef358c39e6d1537243a3ede175c8c0,delivered,2018-05-09 11:07:14,2018-05-09T15:34:56Z,2018-05-10 15:17:00,2018-05-17T19:52:09Z,2018-05-23T04:00:00Z,4,51b24bbd390b66c9f67579153fe7ec5f,2018-05-15 11:30:43,17,12.79,construcao_ferramentas_construcao,56,255,2,100,17,7,11,1,credit_card,1,178.74,-23.565113424714426,-46.644944579328765,14079,ribeirao preto / sao paulo,SP,0,-5,8.178622685185186,5,
